smiles,min_bde_pred,Group
CCC1=C(C(=O)C2=CC=CC(OCC(O)=O)=C2)C2=C(O1)C=CC=C2,15.6813965,0
COC1=C(NC(=O)NC2=C(C)C=CC=C2)C=CC(=C1)N(C(C)=O)C1=CC=C(C=C1)[C@@H](CC(O)=O)NC(=O)CN,14.109577,0
OC(=O)COC1=CC=C2CCC(=CC2=C1)N1C=CN=C1,10.47928,0
NC(C(N)=O)C1=CC(O)=C(O)C=C1,12.446299,0
COC1=C2C(CC=C3C(C)=C(CCC23C)C=O)=C(OC)C(=C1)C(C)C,8.88134,0
CCOC(=O)C1=C(N=NN(C)C)N=C(CC2=CC=CC=C2)N1C,27.504227,0
CC(C)=NNC1=CC=C(OCC2CO2)N=N1,36.123653,0
COC(=O)CCCCCCCC(=O)NC1=CC=C(C=C1)C(=O)NNC(=O)OC(C)(C)C,15.653654,0
OCCC1=CC=C2NC(=CC2=C1)C(=O)OCC1=CC=CC=C1,25.527084,0
CCC(O)C1=CN2C3=C(C=CC=C3)C3=CC=CC(=C23)C1=O,9.480543,0
CCOC(=O)C1=CC=CC2=C1NC(N)=N2,20.889637,0
O=[N+](OCC(CO[N+]([O-])=O)(N(CCO[N+]([O-])=O)CCO[N+]([O-])=O)CO[N+]([O-])=O)[O-],70.744225,0
OC(=O)[C@@H]1CCCN1N=O,66.76375,0
O=C(CC1=CC=CC=C1)NC1CN(CC#N)C1=O,28.660034,0
CCOC(=O)CC(NC(=O)C1=CC=CC=C1)C(=O)C1=COC=C1,20.70581,0
NC(=N)NCCOCCO,64.67763,0
NCC1CC2=C(O1)C(CC1=CC=CC=C1)=CC=C2,28.120981,0
CN(N=O)C(=O)N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,59.904335,0
CCCN(N=O)C(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,59.096466,0
NC(=N)NC1=CC=C(C=C1)C(=O)N1CCN(CCC(O)=O)C(=O)C1,13.402132,0
CCCCCCCCCCCCCCCCCCOC(=O)\C=C/C(=O)NC(N)=O,63.85459,0
NC1=CC=CC(=N1)C1=CC=C(CCN2CC3=CC=CC=C3CC2C(O)=O)C=C1,18.22312,0
CNCC1=CC=CC(=C1)C1=NC=C2C=CC(=O)NC3=C2N1CC3,24.148434,0
CCN(CC)C1=CC2=C(C=C(O2)C(=O)C2=CC3=C(OCCO3)C=C2)C=C1,10.425238,0
CCN(CC)C1=CC2=C(C=C(O2)C(=O)C2=C(C)C=C(C)C=C2)C=C1,8.568515,0
CCOC(=O)C1=NC(=NC1=[N+]=[N-])C1=CC=CC=C1,22.560215,0
CCCC1(CCC)N(OC(C)(C)C#N)C(CCC)(CCC)C2=CC=CC=C12,27.722103,0
CCOC(=O)N(C1=NN(CC1)C1=CC=CC=C1)C1=CC=CN=C1,23.502913,0
CCOC(=O)C1=CC2=C(N=C(C)N2C)C(NCC2=C(CC)C=CC=C2C)=N1,19.201141,0
CCCOC1=C(O)C=C(CN)C=C1,14.020754,0
CCNCCN1C(=O)C2=CC=CC=C2C1=O,29.762352,0
CC(C)NC(=O)N(O)CC#CC1=CC(=CC=C1)C1=N[C@@H](CO1)C1=CC=CC=C1,20.744879,0
CC(=O)OC1=C(C=CC=C1)C(=O)OC1=CC=CC2=CC3=CC=CC(OC(=O)C4=C(OC(C)=O)C=CC=C4)=C3C(OC(=O)C3=C(OC(C)=O)C=CC=C3)=C12,9.896632,0
CC1=CC(=CC(C)=C1O)C(=O)NC1CCC(=O)N2CCCC(N2C1=O)C(=O)NC1CC(=O)OC1OCC1=CC=CC=C1,17.987312,0
CCCCNC(=O)N[C@@H](CC1=CC=C(OC)C=C1)C(=O)N[C@H]1[C@@H](O)[C@@H](O[C@@H]1C(=O)NCCCC)N1C=NC2=C(N)N=CN=C12,21.230707,0
CC1=C(N(CCCCCCNCCN)C2=CC=C(O)C=C12)C1=CC=C(O)C=C1,21.505499,0
O[C@@H]1[C@@H](CCOC2=C1C=C(OCC1=NC3=CC=CC=C3C=C1)C=C2)OC1=CC(=CC=C1)C(O)=O,12.952381,0
CCC1=CC=CC(NC(=O)NC2N=C(N3CCN(C)CC3)C3=C(C=CC=C3)N(CC(C)C)C2=O)=C1,18.813477,0
CC(C1=NOC(=C1)N=C(N)N1CCOCC1)C1=CC2=C(C=C1)C1=CC=CC=C1N2,20.519062,0
CN1C=NC(=C1)C1=NC(C=O)=CN1C,78.58684,0
CN1C=NC(=C1)C1=NC=C(C=O)N1C,78.54575,0
CN1CC=CCC1(C=NO)C#N,67.86755,0
CCCCCCCCCCCCCCOC1=CC=C(O1)C(O)=O,68.38553,0
COC(=O)C1=CC(=NN(CC2=CC=CN=C2)C1=O)C1=CC=C(OC)C=C1,11.094728,0
CC(C)OC1=CC=C(NC2=CC=CC=C2)C=C1,23.227243,0
OCCOC1=CC=NC=C1,21.880629,0
CCC1=C(CC2=C(C=CC=C2)C2=CC=CC=C2)N2C=CC(OCCCC(O)=O)=CC2=C1C(=O)C(N)=O,23.627602,0
CC1=CC=C(C=C1)N(N=O)C1=CC=CC(O)=C1,19.696308,0
CCOC(=O)N1C(=O)C(=O)C2=CC=CC=C12,28.611399,0
CN1C(CC(O)=O)=CC2=C1C(=O)C1=C(CO2)C=CC=C1,16.796532,0
CNC1=C(C=CC=C1C(=O)OC(C)(C)C)C(=O)C(O)=O,10.36382,0
C[C@@H]1O[C@@H](OC2=C(NC=N2)C(N)=O)[C@H](O)[C@H](O)[C@H]1O,64.04579,0
O[C@@H]1[C@H](NC(=O)C2=CC=CC=C2)[C@H](O[C@H]1N1C=NC2=C(NC(=O)C3=CC=CC=C3)N=CN=C12)C(O)=O,20.393108,0
